date,state,district,daily_enrollments,enrollment_sum,age_0_5_sum,age_5_17_sum,age_18_plus_sum,infant_ratio,youth_ratio,adult_ratio,anomaly_label,anomaly_score
2025-09-06,Meghalaya,South West Khasi Hills,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-07,Rajasthan,Chittaurgarh,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-08,Meghalaya,East Khasi Hills,22,19,19,40,54,0.16666666666666666,0.3508771929824561,0.47368421052631576,-1,-0.017558358102273908
2025-09-08,Mizoram,Kolasib,2,1,1,0,3,0.2,0.0,0.6,-1,-0.02676094198389234
2025-09-08,Nagaland,Niuland,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-09,Assam,West Karbi Anglong,4,0,0,1,4,0.0,0.16666666666666666,0.6666666666666666,-1,-0.03723756133983658
2025-09-09,Meghalaya,East Khasi Hills,21,23,23,74,51,0.15436241610738255,0.4966442953020134,0.3422818791946309,-1,-0.0016479627851621048
2025-09-10,Meghalaya,East Garo Hills,4,1,1,16,12,0.03333333333333333,0.5333333333333333,0.4,-1,-0.014814746406301205
2025-09-10,Meghalaya,East Khasi Hills,23,20,20,56,38,0.17391304347826086,0.48695652173913045,0.33043478260869563,-1,-0.0036873907834352737
2025-09-10,Meghalaya,South Garo Hills,5,0,0,21,6,0.0,0.75,0.21428571428571427,-1,-0.008718582046472023
2025-09-10,Nagaland,Chumukedima,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-09-10,Nagaland,Zunheboto,2,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04863532129208814
2025-09-11,Dadra and Nagar Haveli and Daman and Diu,Diu,1,0,0,1,2,0.0,0.25,0.5,-1,-0.004045743520228462
2025-09-11,Madhya Pradesh,Pandhurna,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-11,Meghalaya,East Jaintia Hills,2,1,1,7,9,0.05555555555555555,0.3888888888888889,0.5,-1,-0.0013446267686089142
2025-09-11,Meghalaya,East Khasi Hills,19,16,16,18,47,0.1951219512195122,0.21951219512195122,0.573170731707317,-1,-0.012789706774063103
2025-09-11,Nagaland,Noklak,1,0,0,0,2,0.0,0.0,0.6666666666666666,-1,-0.04793890482294638
2025-09-11,Sikkim,Namchi,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-12,Assam,West Karbi Anglong,4,2,2,4,16,0.08695652173913043,0.17391304347826086,0.6956521739130435,-1,-0.02416049444266044
2025-09-12,Meghalaya,East Jaintia Hills,3,1,1,2,14,0.05555555555555555,0.1111111111111111,0.7777777777777778,-1,-0.051327934725789004
2025-09-12,Meghalaya,East Khasi Hills,23,21,21,65,48,0.15555555555555556,0.48148148148148145,0.35555555555555557,-1,-0.007223192045351268
2025-09-12,Nagaland,Chumukedima,4,0,0,2,5,0.0,0.25,0.625,-1,-0.02314614043155061
2025-09-12,Nagaland,Tseminyu,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-13,Assam,West Karbi Anglong,3,0,0,6,6,0.0,0.46153846153846156,0.46153846153846156,-1,-0.01741931633796112
2025-09-13,Meghalaya,South Garo Hills,1,0,0,1,2,0.0,0.25,0.5,-1,-0.004045743520228462
2025-09-13,Sikkim,Namchi,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-14,Tamil Nadu,Kallakurichi,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-15,Maharashtra,Chatrapati Sambhaji Nagar,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-15,Meghalaya,East Jaintia Hills,2,1,1,15,13,0.03333333333333333,0.5,0.43333333333333335,-1,-0.0040782213892046615
2025-09-15,Meghalaya,East Khasi Hills,22,13,13,37,42,0.13978494623655913,0.3978494623655914,0.45161290322580644,-1,-0.01675485027416823
2025-09-16,Assam,West Karbi Anglong,3,0,0,4,4,0.0,0.4444444444444444,0.4444444444444444,-1,-0.014925931451137742
2025-09-16,Meghalaya,East Jaintia Hills,1,0,0,1,6,0.0,0.125,0.75,-1,-0.04919965993036224
2025-09-16,Meghalaya,East Khasi Hills,23,25,25,59,47,0.1893939393939394,0.44696969696969696,0.3560606060606061,-1,-0.006912339909687204
2025-09-16,Meghalaya,South West Khasi Hills,2,0,0,1,7,0.0,0.1111111111111111,0.7777777777777778,-1,-0.04839374520887152
2025-09-16,Nagaland,Peren,2,0,0,3,3,0.0,0.42857142857142855,0.42857142857142855,-1,-0.005840771452633731
2025-09-16,West Bengal,Kalimpong,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-17,Chhattisgarh,Sarangarh-Bilaigarh,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-17,Meghalaya,East Jaintia Hills,2,1,1,7,14,0.043478260869565216,0.30434782608695654,0.6086956521739131,-1,-0.022710859115584348
2025-09-17,Meghalaya,East Khasi Hills,24,7,7,39,47,0.07446808510638298,0.4148936170212766,0.5,-1,-0.04056499062954266
2025-09-17,Meghalaya,Ri Bhoi,6,2,2,14,14,0.06451612903225806,0.45161290322580644,0.45161290322580644,-1,-0.009580103561558029
2025-09-17,Meghalaya,South West Garo Hills,2,0,0,1,2,0.0,0.25,0.5,-1,-0.002650984650825139
2025-09-17,Meghalaya,South West Khasi Hills,3,0,0,2,6,0.0,0.2222222222222222,0.6666666666666666,-1,-0.031982442607397576
2025-09-17,Nagaland,Longleng,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-17,Nagaland,Shamator,1,0,0,1,2,0.0,0.25,0.5,-1,-0.004045743520228462
2025-09-17,West Bengal,Kalimpong,3,1,1,0,4,0.16666666666666666,0.0,0.6666666666666666,-1,-0.03321327722669265
2025-09-18,Maharashtra,Chatrapati Sambhaji Nagar,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
2025-09-18,Meghalaya,South Garo Hills,3,0,0,4,3,0.0,0.5,0.375,-1,-0.005658954705466845
2025-09-18,Meghalaya,West Khasi Hills,2,1,1,14,9,0.04,0.56,0.36,-1,-0.011365261386646286
2025-09-19,Karnataka,Bengaluru South,1,0,0,0,1,0.0,0.0,0.5,-1,-0.031962546669918934
